Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Shape (product.metafields.custom.shape)
Berlin - Drayton Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_bs.jpg",,,,,,,,,,,,,,,
Berlin - Drayton Area Rug,"<div class=""product-overview-data"">
<p><p>Reinvigorate your favorite interior space with the rich texture and exciting geometric patterns of the Berlin collection by Amer Rugs. The striking Drayton area rug goes bold with a southwestern-inspired design, rendered in on-trend neutrals for easy coordination with contemporary themes.</p><ul><li>Each area rug in the Berlin collection is handmade with a dimensional looped texture for patterns that pop. </li><li> Wavering lines and subtle asymmetries give this southwestern area rug a charming artistic appearance. The ivory base sets an uplifting tone, with subtle hints of orange and charcoal lending an energizing touch.</li><li> Drayton features a 100% wool rug pile that has been handwoven by the skilled artisans at Amer Rugs. This piece is durable enough for living spaces and soft enough for bedrooms. </li><li> Quickly blot spills with a dry white cloth before they have a chance to set. Shedding is to be expected – vacuum as needed using a suction-only setting or hard surface tool.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,8' x 10' Rectangular,944.99,451.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_ds.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_hs.jpg",1.0,Drayton,Ivory (BER-3),Moroccan,100% Wool,Hand-Hooked,"2⁄5"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Berlin - Drayton Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_cs.jpg",,,,,,,,,,,,,,,
Berlin - Drayton Area Rug,"<div class=""product-overview-data"">
<p><p>Reinvigorate your favorite interior space with the rich texture and exciting geometric patterns of the Berlin collection by Amer Rugs. The striking Drayton area rug goes bold with a southwestern-inspired design, rendered in on-trend neutrals for easy coordination with contemporary themes.</p><ul><li>Each area rug in the Berlin collection is handmade with a dimensional looped texture for patterns that pop. </li><li> Wavering lines and subtle asymmetries give this southwestern area rug a charming artistic appearance. The ivory base sets an uplifting tone, with subtle hints of orange and charcoal lending an energizing touch.</li><li> Drayton features a 100% wool rug pile that has been handwoven by the skilled artisans at Amer Rugs. This piece is durable enough for living spaces and soft enough for bedrooms. </li><li> Quickly blot spills with a dry white cloth before they have a chance to set. Shedding is to be expected – vacuum as needed using a suction-only setting or hard surface tool.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,9' x 13' Rectangular,"1,374.99",655.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_zs.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19746/145259/233401/ws_ber-3_ivory_hs.jpg",1.0,Drayton,Ivory (BER-3),Moroccan,100% Wool,Hand-Hooked,"2⁄5"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,2' x 3' Rectangular,74.99,35.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_ls.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_hs.jpg",1.0,Duncan,Ivory (VIS-4),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_hs.jpg",,,,,,,,,,,,,,,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,5' x 8' Rectangular,469.99,223.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_as.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_hs.jpg",1.0,Duncan,Ivory (VIS-4),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_bs.jpg",,,,,,,,,,,,,,,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,8' x 10' Rectangular,919.99,443.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_ds.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_hs.jpg",1.0,Duncan,Ivory (VIS-4),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_cs.jpg",,,,,,,,,,,,,,,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Ivory ,Size,9' x 13' Rectangular,"1,334.99",643.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_zs.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233436/ws_vis-4_ivory_hs.jpg",1.0,Duncan,Ivory (VIS-4),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Grey ,Size,2' x 3' Rectangular,74.99,35.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_ls.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_hs.jpg",1.0,Duncan,Grey (VIS-1),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_hs.jpg",,,,,,,,,,,,,,,
Vista - Duncan Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace modern geometric styling with the Duncan area rug, part of the exceptionally practical Vista collection by Amer Rugs. This handcrafted design showcases the comfort and versatility of New Zealand wool – every piece made with the utmost attention to quality.</p><ul><li>Choose from three neutral colorways. Each yarn is spun with variegated color for incomparable richness and depth. </li><li> Duncan features an interlaced trellis pattern, the smooth lines coming together in overlaid diamond motifs for a striking modern look. Each line is rendered in a soft cut pile that stands in tactile contrast to the low looped base. </li><li> This 100% wool area rug is hand-hooked by skilled artisans. A strong cotton backing adds extra stability for longer lasting durability. </li><li> Avoid using any type of brush roll or beater bar component while vacuuming this area rug. Use a suction-only setting.</li></ul></p>
</div>",Amer Rugs,Color,Grey ,Size,5' x 8' Rectangular,469.99,223.99,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_as.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_hs.jpg",1.0,Duncan,Grey (VIS-1),Geometric,"80% Wool, 20% Cotton",Hand-Hooked,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Vista - Duncan Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00483/19752/145286/233435/ws_vis-1_gray_bs.jpg",,,,,,,,,,,,,,,
